"COU","Country","TAX","Income Tax","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ITA","Italy","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,40.45852,,
"ITA","Italy","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,47.2611,,
"ITA","Italy","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,47.2611,,
"ITA","Italy","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,47.2611,,
"ITA","Italy","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,47.8431,,
"ITA","Italy","PERS_ITAX","Personal income tax","2015","2015",,,"0","Units",,,48.8131,,
"ITA","Italy","PERS_ITAX","Personal income tax","2016","2016",,,"0","Units",,,48.8131,,
"ITA","Italy","PERS_ITAX","Personal income tax","2017","2017",,,"0","Units",,,42.275573,,
"ITA","Italy","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,42.275573,,
"JPN","Japan","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,47.3,,
"JPN","Japan","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,47.3,,
"JPN","Japan","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,47.15,,
"JPN","Japan","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,47.15,,
"JPN","Japan","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,47.15,,
"JPN","Japan","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,47.1125,,
"JPN","Japan","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,47.1,,
"JPN","Japan","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,47.2,,
"JPN","Japan","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,47.2,,
"JPN","Japan","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,47.3,,
"JPN","Japan","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,47.225,,
"JPN","Japan","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,47.2,,
"JPN","Japan","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,47.25,,
"JPN","Japan","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,50.5858,,
"JPN","Japan","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,50.5858,,
