"province_state","country_region","lat","long","date","cases","deaths","date_upd","is_country"
NA,"Andorra",42.5063,1.5218,"3/30/20",370,8,2020-03-30,TRUE
NA,"Andorra",42.5063,1.5218,"3/31/20",376,12,2020-03-31,TRUE
NA,"Andorra",42.5063,1.5218,"4/1/20",390,14,2020-04-01,TRUE
NA,"Andorra",42.5063,1.5218,"4/2/20",428,15,2020-04-02,TRUE
NA,"Andorra",42.5063,1.5218,"4/3/20",439,16,2020-04-03,TRUE
NA,"Andorra",42.5063,1.5218,"4/4/20",466,17,2020-04-04,TRUE
NA,"Andorra",42.5063,1.5218,"4/5/20",501,18,2020-04-05,TRUE
NA,"Andorra",42.5063,1.5218,"4/6/20",525,21,2020-04-06,TRUE
NA,"Andorra",42.5063,1.5218,"4/7/20",545,22,2020-04-07,TRUE
NA,"Andorra",42.5063,1.5218,"4/8/20",564,23,2020-04-08,TRUE
NA,"Andorra",42.5063,1.5218,"4/9/20",583,25,2020-04-09,TRUE
NA,"Andorra",42.5063,1.5218,"4/10/20",601,26,2020-04-10,TRUE
NA,"Andorra",42.5063,1.5218,"4/11/20",601,26,2020-04-11,TRUE
NA,"Andorra",42.5063,1.5218,"4/12/20",638,29,2020-04-12,TRUE
